product_title,product_name,notes
"[JEFFREE STAR APPROVED] Cover Glow Perfect Cushion","水光气垫","auto-generated 2026-06-28"
"[Recommended by Cardi B] Peptide Brightening Lip Serum","唇部精华","auto-generated 2026-06-28"
"10% Niacinamide Brightening Serum","精华合集","auto-generated 2026-06-28"
"10% Niacinamide Brightening Serum Mini Sample","精华合集","auto-generated 2026-06-28"
"10% Pure Vitamin C Brightening Serum","VC双舱精华","auto-generated 2026-06-28"
"12-Hour Long-Lasting Cushion, Serum Spray & Lip Serum Set","水光气垫,唇部精华,水油喷雾","auto-generated 2026-06-28"
"12% AHA BHA PHA LHA Peeling Solution Serum","磨皮棉片","auto-generated 2026-06-28"
"2% Salicylic Acid Serum Acne Treatment & Pore Clearing","护肤类","auto-generated 2026-06-28"
"360° Crystal Massager Lifting Eye Cream","护肤类","auto-generated 2026-06-28"
"377 Dark Spot Brightening Routine Set","多件套","auto-generated 2026-06-28"
"377 Dark Spot Serum","377精华","auto-generated 2026-06-28"
"3X Acid Acne Gel Cleanser","美白洗面奶","auto-generated 2026-06-28"
"4D Hyaluronic Acid Hydrating Serum","精华合集","auto-generated 2026-06-28"
"5% AHA BHA PHA Exfoliating Toner for Acne & Bright Skin","磨皮棉片","auto-generated 2026-06-28"
"5% B5 Ceramide Barrier Relief Moisturizer","5X面霜","auto-generated 2026-06-28"
"5% Panthenol Acne Calming Water Gel","护肤类","auto-generated 2026-06-28"
"5X Ceramide Barrier Face Moisture Gel Light Texture","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Barrier Repair Moisture Gel","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Barrier Repair Moisture Gel (Mini Sample)","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Barrier Repair Set 4pcs","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Complete Barrier Repair Set","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Gel & Glow Cushion & Serum Spray 3pcs Set","气垫合集","auto-generated 2026-06-28"
"5X Ceramide Low pH Cleanser Facial Wash","美白洗面奶","auto-generated 2026-06-28"
"5X Ceramide Low pH Cleanser Facial Wash (Mini Sample)","美白洗面奶","auto-generated 2026-06-28"
"5X Ceramide Moisturizer & SPF50 Sunscreen Set","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Serum Sunscreen SPF 50+ PA++++","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Serum Sunscreen SPF 50+ PA++++ (Mini Sample)","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Sheet Mask 1pcs","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Skin Barrier Repair Serum","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Soothing & Calming Sheet Mask 1pcs","5X面霜","auto-generated 2026-06-28"
"5X Ceramide Soothing Skin Barrier Toner","5X面霜","auto-generated 2026-06-28"
"Affordable Glow Skincare Set - 5X Ceramide Gel, Alaska Volcano Clay Stick, Radiance Booster Spray & Peptide Lip Serum","唇部精华","auto-generated 2026-06-28"
"AHA BHA PHA Exfoliating Pads","磨皮棉片","auto-generated 2026-06-28"
"AHA BHA PHA Pads & Niacinamide Brightening Mask Set","美白面膜","auto-generated 2026-06-28"
"Alaska Volcano Pore Clay Stick","火山泥膜棒","auto-generated 2026-06-28"
"All Day Perfect Serum Foundation","底妆合集","auto-generated 2026-06-28"
"All Day Protect Tinted Serum Sunscreen SPF 50+ PA++++","防晒合集","auto-generated 2026-06-28"
"AM-PM Brightening & Renewal Serum Set 2pcs","多件套","auto-generated 2026-06-28"
"Amazon White Clay Purifying Clay Stick","泥膜棒合集","auto-generated 2026-06-28"
"Amino Acid Ultra-Gentle Gentle Cleansing Mousse Face Cleanser","美白洗面奶","auto-generated 2026-06-28"
"Aqua Light Daily Sunscreen SPF 35 PA+++ Lightweight Water-Burst Sunscreen","防晒合集","auto-generated 2026-06-28"
"Blackhead Clearing & Brightening Clay Mask Stick Set","多件套","auto-generated 2026-06-28"
"Blackhead Control & Acne Care Deep Cleansing Clay Stick Duo Set 2pcs","美白洗面奶","auto-generated 2026-06-28"
"Brightening Glow Cover Cushion + Lip Serum + Moisture Gel 3pcs Set","唇部精华","auto-generated 2026-06-28"
"Centella Acne Care Micellar Cleansing Wipes for Acne-Prone Skin","美白洗面奶","auto-generated 2026-06-28"
"Centella Deep Cleansing Oil Makeup Remover","美白洗面奶","auto-generated 2026-06-28"
"Clay Mask Stick Set for Acne Pores & Brightening","多件套","auto-generated 2026-06-28"
"Clear All Twist-Up Cleansing Balm for Waterproof Makeup","美白洗面奶","auto-generated 2026-06-28"
"Cover All Perfect Cushion & Peptide Lip Serum Set 2pcs","唇部精华","auto-generated 2026-06-28"
"Cover All Perfect Cushion 12 Hours","气垫合集","auto-generated 2026-06-28"
"Cover All Perfect Cushion Foundation Full Coverage - Refill","气垫合集","auto-generated 2026-06-28"
"Cover Glow Perfect Cushion Refill","水光气垫","auto-generated 2026-06-28"
"Cover Perfect Serum Concealer Long Lasting High Coverage Concealer","底妆合集","auto-generated 2026-06-28"
"Daily Filter Perfect Skin Tint","素颜霜","auto-generated 2026-06-28"
"Daily Niacinamide Brightening Glow System Set","美白多件套","auto-generated 2026-06-28"
"Damask Rose Brightening Whipped Cream Cleanser","美白洗面奶","auto-generated 2026-06-28"
"Dark Spot & Retinol Skin Renewal Routine Set","多件套","auto-generated 2026-06-28"
"Day & Night Cream Duo - Glow Bright Day Cream & 5X Ceramide Barrier Repair Moisture Gel","美白面霜","auto-generated 2026-06-28"
"Dual Clay Blackhead Clearing & Smooth Skin Set 2pcs","多件套","auto-generated 2026-06-28"
"Glow & Cover Radiant Base Set 2pcs","多件套","auto-generated 2026-06-28"
"Glow Bright Day Cream","美白面霜","auto-generated 2026-06-28"
"Glow Brightening Renewal Set 3pcs","多件套","auto-generated 2026-06-28"
"Glow Cushion & Peptide Lip Serum Set 2pcs","唇部精华","auto-generated 2026-06-28"
"Glow Cushion & Serum Spray Set 2pcs","气垫合集","auto-generated 2026-06-28"
"Glow Makeup Set with Cushion, Face Mist & Lip Serum","水光气垫,唇部精华,水油喷雾","auto-generated 2026-06-28"
"Hydrating Skin Tint and Glow Setting Spray Set","素颜霜","auto-generated 2026-06-28"
"Invisiblur All Day Loose Powder Blurring Setting Powder","多件套","auto-generated 2026-06-28"
"Lactic Acid Exfoliating Serum Smooth & Bright Skin","精华合集","auto-generated 2026-06-28"
"Lip Serum + Cover Cushion + 5X Ceramide Barrier 3 pcs","唇部精华","auto-generated 2026-06-28"
"Lock The Look Setting Spray 16-Hour Long-Lasting Matte Finish","多件套","auto-generated 2026-06-28"
"Matte Fit Serum Sunscreen SPF 50+ PA++++","防晒合集","auto-generated 2026-06-28"
"Mini Travel Set: 5X Ceramide Moisture Gel + SPF 50+ Serum Sunscreen (2 pcs)","5X面霜","auto-generated 2026-06-28"
"MSH Niacinamide Brightening Moisture Gel","美白面霜","auto-generated 2026-06-28"
"MSH Niacinamide Brightening Moisture Gel (Mini Sample)","美白面霜","auto-generated 2026-06-28"
"Mugwort Anti Pores & Acne Clay Mask Stick","艾草泥膜棒","auto-generated 2026-06-28"
"Mugwort Purifying Micellar Makeup Remover with Ceramide & Centella","美白洗面奶","auto-generated 2026-06-28"
"Niacinamide Bright Boost Clay Stick Mask","美白面膜","auto-generated 2026-06-28"
"Niacinamide Brightening Cleanser Face Wash","美白洗面奶","auto-generated 2026-06-28"
"Niacinamide Brightening Cleanser Face Wash Mini Sample","美白洗面奶","auto-generated 2026-06-28"
"Niacinamide Brightening Cleansing Wipes","美白洗面奶","auto-generated 2026-06-28"
"Niacinamide Brightening Daily Quick Mask (30pcs)","美白面膜","auto-generated 2026-06-28"
"Niacinamide Brightening Essence Toner","护肤类","auto-generated 2026-06-28"
"Niacinamide Brightening Face Mask & Clay Stick Set 2pcs","美白面膜","auto-generated 2026-06-28"
"Niacinamide Brightening Quick Mask & Gel Moisturizer Set 2pcs","美白面膜","auto-generated 2026-06-28"
"Niacinamide Brightening Serum, Moisture & SPF Set","美白多件套","auto-generated 2026-06-28"
"Niacinamide Brightening Set","美白多件套","auto-generated 2026-06-28"
"Niacinamide Brightening Sunscreen SPF50+ PA++++","美白防晒","auto-generated 2026-06-28"
"Niacinamide Glow Reset & Brightening Care Set 3pcs","美白多件套","auto-generated 2026-06-28"
"Panthenol Acne Calming Water Gel Set 2pcs","护肤类","auto-generated 2026-06-28"
"Panthenol Gentle Gel Cleanser","美白洗面奶","auto-generated 2026-06-28"
"Panthenol Gentle Gel Cleanser Soothing Face Wash","美白洗面奶","auto-generated 2026-06-28"
"PDRN Ampoule Moisture Gel and Clay Stick Set","PDRN面霜","auto-generated 2026-06-28"
"PDRN Ampoule Serum Spray and Moisture Gel Set","水油喷雾","auto-generated 2026-06-28"
"PDRN Bright & Smooth Glass Skin Glow Set","多件套","auto-generated 2026-06-28"
"PDRN Bright & Smooth Glass Skin Set","多件套","auto-generated 2026-06-28"
"PDRN Bright & Smooth Moisture Gel Cream Moisturizer","PDRN面霜","auto-generated 2026-06-28"
"PDRN Brightening One Time Ampoule Serum 30pcs","PDRN次抛精华","auto-generated 2026-06-28"
"PDRN Brightening Smooth Serum","PDRN精华","auto-generated 2026-06-28"
"PDRN Radiance Bright Serum Spray","水油喷雾","auto-generated 2026-06-28"
"Peeling Solution & 5X Ceramide Moisture Gel 2pcs Set","5X面霜","auto-generated 2026-06-28"
"Peptide Brightening Lip Serum","唇部精华","auto-generated 2026-06-28"
"Peptide Brightening Lip Serum Duo Set 2pcs","唇部精华","auto-generated 2026-06-28"
"Peptide Nourishing Lip Serum Set","唇部精华","auto-generated 2026-06-28"
"Peptide Nourishing Lip Serum Set 3pcs","唇部精华","auto-generated 2026-06-28"
"Perfect Stay Velvet Matte Cushion","气垫合集","auto-generated 2026-06-28"
"Perfect Stay Velvet Matte Cushion Refill","气垫合集","auto-generated 2026-06-28"
"Pore Perfect Clay Stick Mask Set 3pcs","泥膜棒合集","auto-generated 2026-06-28"
"Radiance Booster Serum Spray","水油喷雾","auto-generated 2026-06-28"
"Radiance Booster Spray & Peptide Lip Serum Set 2pcs","唇部精华","auto-generated 2026-06-28"
"Retinol Anti-Aging Night Repair 2pcs Set","多件套","auto-generated 2026-06-28"
"Retinol Serum Skin Renewal Anti-Aging Night Serum","combo:视黄醇面霜+视黄醇精华","auto-generated 2026-06-28"
"Retinol Skin Renewal Anti Aging Set 2pcs","多件套","auto-generated 2026-06-28"
"Retinol Skin Renewal Moisturizer Acne & Anti-Aging Night Cream","早C晚A 视黄醇VC面霜两件套","auto-generated 2026-06-28"
"Rose PDRN Niacinamide Glow Boost Clay Stick","泥膜棒合集","auto-generated 2026-06-28"
"Skin Tint, Glow Serum Spray & Lip Serum Set","唇部精华","auto-generated 2026-06-28"
"SymWhite 377 Dark Spot Moisture Gel","377面霜","auto-generated 2026-06-28"
"SymWhite377 Dark Spot Essence Brightening Toner","377套组","auto-generated 2026-06-28"
"Ultra Cover Powder Foundation","粉饼","auto-generated 2026-06-28"
"Ultra Light Serum Sunscreen SPF 50+ PA++++ for Oily & Sensitive Skin","防晒合集","auto-generated 2026-06-28"
"Velvet Matte & Cover Perfect Stay Base Set 2pcs","底妆合集","auto-generated 2026-06-28"
"Velvet Matte Cushion & Brightening Lip Serum 2pcs Set","唇部精华","auto-generated 2026-06-28"
"Vitamin C Brightening Boost Moisturizer","VC双舱精华","auto-generated 2026-06-28"
"White Truffle Cleansing Essence Gentle Amino Acid Cleanser","美白洗面奶","auto-generated 2026-06-28"
"Zero Oil Cleansing Balm Makeup Remover","美白洗面奶","auto-generated 2026-06-28"
